fight_id,round,opponent_1,opponent_1_power,opponent_1_resistance,opponent_1_ability_to_take_punch,opponent_2,opponent_2_power,opponent_2_resistance,opponent_2_ability_to_take_punch,opponent_1_weight,opponent_2_weight,opponent_1_rounds_boxed,opponent_2_rounds_boxed
1,1,Vasyl Lomachenko ,72,73.9,78,Luke Campbell,72,60.5,73,127.11,135.24,119,130
2,1,Orlando Fiordigiglio ,59,55.4,68,Sam Eggington,59,54.5,66,152.5,148.93,200,177
3,1,Gennady Golovkin ,82,68,84,Sergiy Derevyanchenko,82,63.3,75,159.66,164.04,200,81
4,1,Shawn Porter ,66,63.8,80,Errol Spence Jr,66,62.3,77,152.53,148.47,219,108
4,2,Shawn Porter ,67.29835369545347,62.718242771511576,76.49424385350129,Errol Spence Jr,68.03735492228174,65.01377278856094,69.43803849105954,152.53,148.47,219,108
4,3,Shawn Porter ,74.84350082596055,62.822469236933586,71.20297954865902,Errol Spence Jr,81.21673259853169,60.16824483939944,64.3006301867638,152.53,148.47,219,108
4,4,Shawn Porter ,70.32801900699154,59.7937959062183,67.69474552543801,Errol Spence Jr,84.62890626946185,58.365333021164936,60.5513350222312,152.53,148.47,219,108
4,5,Shawn Porter ,63.614526001584515,55.375891666563994,63.27702152482854,Errol Spence Jr,68.95545024034128,51.557828165716025,57.01607290987198,152.53,148.47,219,108
5,1,Zaur Abdullaev ,64,58.4,72,Devin Haney,64,47,73,0,0,60,110
6,1,Tyson Fury ,72,66.5,86,Otto Wallin,72,57.4,77,247.5,240.54,174,90
7,1,Artur Beterbiev ,88,68.4,81,Oleksandr Gvozdyk,88,67.5,78,178.65,174.95,52,88
8,1,Dereck Chisora ,65,63.9,78,David Price,65,65.6,70,238.35,246.75,252,105
9,1,Olajide William Olatunji ,0,0,0,Logan Paul,0,0,0,0,0,0,0
10,1,Sugar Ray Leonard ,73,66.9,82,Marvin Hagler,73,62,89,151.51,177.35,244,386
10,2,Sugar Ray Leonard ,73.98482322802525,63.79068541222126,81.76897092471471,Marvin Hagler,83.31189903850816,59.645820029545995,85.66617103960675,151.51,177.35,244,386
10,3,Sugar Ray Leonard ,81.0531177392541,53.5652347195804,78.88006900791294,Marvin Hagler,88.93959607148861,55.42850041707985,80.10498419461138,151.51,177.35,244,386
10,4,Sugar Ray Leonard ,69.70657623459445,50.86343392700153,70.76379880857058,Marvin Hagler,84.69131603410526,54.539529316221504,72.4660896277446,151.51,177.35,244,386
10,5,Sugar Ray Leonard ,64.9907528388999,45.58393405617541,61.612402137800906,Marvin Hagler,77.23872260170201,47.834298052585545,61.69714421521542,151.51,177.35,244,386
10,6,Sugar Ray Leonard ,56.84744762702843,37.89149703910862,54.925705707161015,Marvin Hagler,76.82195769081106,41.31186758158918,51.546065612382094,151.51,177.35,244,386
11,1,Mike Tyson ,83,61.8,82,Michael Spinks,83,65.3,83,369.29,321.86,119,225
12,1,Raul Pinzon ,70,39.6,72,Saul Alvarez,70,41.1,71,149.6,156.18,60,129
13,1,Saul Alvarez ,67,42.4,76,Antonio Fitch,67,26.7,50,155.67,142.28,130,42
14,1,Scott Belshaw ,63,49.7,56,Tyson Fury,63,59,63,235.48,249.06,38,11
14,2,Scott Belshaw ,51.393574434811796,33.2144736256718,35.53984622664837,Tyson Fury,48.77965008739315,43.46871320614023,42.845786789823094,235.48,249.06,38,11
15,1,Carlos Leonardo Herrera ,57,49,62,Saul Alvarez,57,46.4,81,148.8,153.77,116,163
16,1,Damon Mccreary ,73,44.7,60,Deontay Wilder,73,52.1,71,177.41,243.21,41,40
17,1,Callum Smith ,77,59.6,63,Rocky Fielding,77,55.8,72,169.11,170,64,88
18,1,Dillian Whyte ,75,54.3,72,Anthony Joshua,75,64.3,73,225.84,235.76,44,25
19,1,Dominic Wade ,70,54.6,67,Gennady Golovkin,70,65.7,82,162.48,159.66,60,151
19,2,Dominic Wade ,52.63049412846874,37.00196831238268,43.56073287402071,Gennady Golovkin,55.726714429617594,42.02760552245663,56.5838028190466,162.48,159.66,60,151
20,1,Anthony Joshua ,87,65.4,78,Dominic Breazeale,87,54,78,237.04,237.83,34,57
20,2,Anthony Joshua ,106.79852563421893,63.74710651420313,64.21102626765338,Dominic Breazeale,109.70353927674779,50.838484354220725,65.30186171587977,237.04,237.83,34,57
21,1,Charles Martin ,80,46.8,74,Anthony Joshua,80,64.6,75,239.9,236.51,74,32
21,2,Charles Martin ,75.10754469045017,27.758708508549812,48.130422100651245,Anthony Joshua,54.06029301461404,47.495659846436546,46.26788638190906,239.9,236.51,74,32
22,1,Kell Brook ,75,63.9,79,Gennady Golovkin,75,65.8,83,149.14,159.66,179,153
22,2,Kell Brook ,68.33233933486984,53.51373405734529,70.9452213067377,Gennady Golovkin,72.88784016503276,62.54400906619658,73.42710697603287,149.14,159.66,179,153
22,3,Kell Brook ,70.3966819037078,45.532232924227145,59.86623400087917,Gennady Golovkin,58.38058930180755,52.438853818950626,63.128697077156616,149.14,159.66,179,153
23,1,Jorge Linares ,71,61.2,76,Anthony Crolla,71,58,76,128.77,135.02,244,227
24,1,Saul Alvarez ,72,58.6,84,Liam Smith,72,55.3,68,152.71,154.61,331,126
25,1,Sergey Kovalev ,81,57.8,77,Andre Ward,81,63,81,175,166.41,114,218
25,2,Sergey Kovalev ,97.35672386362985,55.723547579826366,71.19554345178872,Andre Ward,79.5569136802168,55.31813394897208,79.09031420126831,175,166.41,114,218
25,3,Sergey Kovalev ,103.24461853364258,48.21645319988882,63.65540060899203,Andre Ward,85.5042645949442,54.1535135570663,75.16808973134964,175,166.41,114,218
25,4,Sergey Kovalev ,94.11363636363636,46.57986382542433,60.11744108632208,Andre Ward,87.09506410641785,47.60613782445065,67.54885119794513,175,166.41,114,218
25,5,Sergey Kovalev ,76.99955677315059,36.42374635075225,53.142662270135986,Andre Ward,76.18535131529934,42.320512466066944,57.85170518806511,175,166.41,114,218
26,1,Andy Ruiz Jr ,72,54.3,78,Joseph Parker,72,61.5,82,248.4,246.11,116,87
26,2,Andy Ruiz Jr ,94.11067415600624,51.892373677276865,68.43001570568724,Joseph Parker,84.47316203234082,63.059314547730374,72.79163085289406,248.4,246.11,116,87
26,3,Andy Ruiz Jr ,111.20326717094477,47.48975252531985,58.915298938745266,Joseph Parker,99.80547606878787,59.9637045781094,62.9332263885983,248.4,246.11,116,87
26,4,Andy Ruiz Jr ,100.85309090909092,45.063095408970185,50.67758991960113,Joseph Parker,96.89336117495779,51.115322710466224,51.89453565476099,248.4,246.11,116,87
27,1,Deontay Wilder ,89,60.9,80,Gerald Washington,89,57.7,74,242.79,247.53,107,78
28,1,Daniel Dubois ,0,0,0,Marcus Kelly,0,0,0,0,0,0,0
29,1,Adrian Granados ,61,52.7,78,Shawn Porter,61,62.4,80,141.39,152.53,145,183
29,2,Adrian Granados ,62.74847648618984,49.801320088079144,75.74288618646764,Shawn Porter,65.70782596279987,60.662687029264866,77.16300353968947,141.39,152.53,145,183
29,3,Adrian Granados ,66.53632970419314,45.75747625078562,70.33157332992623,Shawn Porter,74.14622459277969,61.97310122387053,74.67026835014659,141.39,152.53,145,183
29,4,Adrian Granados ,56.391154775990806,45.10855915558418,63.413474632779966,Shawn Porter,68.94574695945329,55.24666793414004,69.73499907313135,141.39,152.53,145,183
29,5,Adrian Granados ,54.580277842429545,41.06446225463189,57.81394569279754,Shawn Porter,54.415310311566365,46.23187048099674,61.643205190202906,141.39,152.53,145,183
30,1,Horacio Garcia ,66,48.2,74,Carl Frampton,66,60.3,77,122.48,121.85,195,152
30,2,Horacio Garcia ,73.52196371017646,49.3634721621419,73.59992270029615,Carl Frampton,71.52173126047913,61.669907464113145,77.70087067727964,122.48,121.85,195,152
30,3,Horacio Garcia ,77.25006046682203,47.53946961113469,71.01547416456742,Carl Frampton,61.41982074834615,54.06184011581927,74.3349396009468,122.48,121.85,195,152
31,1,Yoan Boyeaux ,65,47.8,77,Naoya Inoue,65,62.4,72,119.97,109.2,162,88
31,2,Yoan Boyeaux ,58.390296218654505,41.334353606497764,67.59320072717638,Naoya Inoue,65.98520316386009,64.3709420193244,67.14839925040663,119.97,109.2,162,88
31,3,Yoan Boyeaux ,43.20566456678576,27.248116993312827,48.924979066310996,Naoya Inoue,50.63677814641901,42.300183739756534,50.61108183080719,119.97,109.2,162,88
32,1,Luis Ortiz ,75,63.9,79,Deontay Wilder,75,61.9,81,237.75,243.1,122,113
32,2,Luis Ortiz ,90.31418822788525,58.09547039487009,72.4272596426311,Deontay Wilder,92.71630019788005,60.13776354981941,70.83748352635212,237.75,243.1,122,113
